TEST,VARIANT,STATE,SIZE,TIME (In Ms)
1,Normal,Ascending,10,0.2142
2,Normal,Ascending,10,0.0028
3,Normal,Ascending,10,0.0009
4,Normal,Ascending,10,0.0008
5,Normal,Ascending,10,0.0006
6,Normal,Ascending,10,0.0006
7,Normal,Ascending,10,0.0006
8,Normal,Ascending,10,0.0005
9,Normal,Ascending,10,0.0006
10,Normal,Ascending,10,0.0006
11,Normal,Ascending,10,0.0006
12,Normal,Ascending,10,0.0006
13,Normal,Ascending,10,0.0005
14,Normal,Ascending,10,0.0006
15,Normal,Ascending,10,0.0006
16,Normal,Ascending,10,0.0006
17,Normal,Ascending,10,0.0005
18,Normal,Ascending,10,0.0005
19,Normal,Ascending,10,0.0006
20,Normal,Ascending,10,0.0006
21,Normal,Ascending,10,0.0006
22,Normal,Ascending,10,0.0006
23,Normal,Ascending,10,0.0011
24,Normal,Ascending,10,0.0009
25,Normal,Ascending,10,0.001
26,Normal,Ascending,10,0.0008
27,Normal,Ascending,10,0.0007
28,Normal,Ascending,10,0.0006
29,Normal,Ascending,10,0.0006
30,Normal,Ascending,10,0.0006
31,Normal,Ascending,10,0.0012
32,Normal,Ascending,10,0.0013
33,Normal,Ascending,10,0.0012
34,Normal,Ascending,10,0.0015
35,Normal,Ascending,10,0.0007
36,Normal,Ascending,10,0.0007
37,Normal,Ascending,10,0.0007
38,Normal,Ascending,10,0.0006
39,Normal,Ascending,10,0.0006
40,Normal,Ascending,10,0.0006
41,Normal,Ascending,10,0.0006
42,Normal,Ascending,10,0.0006
43,Normal,Ascending,10,0.0006
44,Normal,Ascending,10,0.0011
45,Normal,Ascending,10,0.0009
46,Normal,Ascending,10,0.0006
47,Normal,Ascending,10,0.0007
48,Normal,Ascending,10,0.0006
49,Normal,Ascending,10,0.0013
50,Normal,Ascending,10,0.0013
51,Normal,Ascending,10,0.0009
52,Normal,Ascending,10,0.0008
53,Normal,Ascending,10,0.0013
54,Normal,Ascending,10,0.0015
55,Normal,Ascending,10,0.0013
56,Normal,Ascending,10,0.0011
57,Normal,Ascending,10,0.0023
58,Normal,Ascending,10,0.0015
59,Normal,Ascending,10,0.0011
60,Normal,Ascending,10,0.0013
61,Normal,Ascending,10,0.0011
62,Normal,Ascending,10,0.0009
63,Normal,Ascending,10,0.0014
64,Normal,Ascending,10,0.0015
65,Normal,Ascending,10,0.0013
66,Normal,Ascending,10,0.0016
67,Normal,Ascending,10,0.0013
68,Normal,Ascending,10,0.0012
69,Normal,Ascending,10,0.0018
70,Normal,Ascending,10,0.0043
71,Normal,Ascending,10,0.0038
72,Normal,Ascending,10,0.0024
73,Normal,Ascending,10,0.0017
74,Normal,Ascending,10,0.0012
75,Normal,Ascending,10,0.0011
76,Normal,Ascending,10,0.0012
77,Normal,Ascending,10,0.0018
78,Normal,Ascending,10,0.0017
79,Normal,Ascending,10,0.0013
80,Normal,Ascending,10,0.0014
81,Normal,Ascending,10,0.0023
82,Normal,Ascending,10,0.0014
83,Normal,Ascending,10,0.0012
84,Normal,Ascending,10,0.001
85,Normal,Ascending,10,0.001
86,Normal,Ascending,10,0.0007
87,Normal,Ascending,10,0.0007
88,Normal,Ascending,10,0.0013
89,Normal,Ascending,10,0.0012
90,Normal,Ascending,10,0.0013
91,Normal,Ascending,10,0.0015
92,Normal,Ascending,10,0.0012
93,Normal,Ascending,10,0.0015
94,Normal,Ascending,10,0.0011
95,Normal,Ascending,10,0.0008
96,Normal,Ascending,10,0.0008
97,Normal,Ascending,10,0.0007
98,Normal,Ascending,10,0.0007
99,Normal,Ascending,10,0.0005
100,Normal,Ascending,10,0.0006
101,Normal,Ascending,10,0.0007
102,Normal,Ascending,10,0.0006
103,Normal,Ascending,10,0.0006
104,Normal,Ascending,10,0.0006
105,Normal,Ascending,10,0.0008
106,Normal,Ascending,10,0.0011
107,Normal,Ascending,10,0.0012
108,Normal,Ascending,10,0.0011
109,Normal,Ascending,10,0.0011
110,Normal,Ascending,10,0.001
111,Normal,Ascending,10,0.0008
112,Normal,Ascending,10,0.0008
113,Normal,Ascending,10,0.001
114,Normal,Ascending,10,0.0034
115,Normal,Ascending,10,0.0014
116,Normal,Ascending,10,0.0009
117,Normal,Ascending,10,0.0011
118,Normal,Ascending,10,0.0011
119,Normal,Ascending,10,0.0012
120,Normal,Ascending,10,0.001
121,Normal,Ascending,10,0.0012
122,Normal,Ascending,10,0.001
123,Normal,Ascending,10,0.0012
124,Normal,Ascending,10,0.0008
125,Normal,Ascending,10,0.0013
126,Normal,Ascending,10,0.001
127,Normal,Ascending,10,0.0013
128,Normal,Ascending,10,0.0014
129,Normal,Ascending,10,0.0008
130,Normal,Ascending,10,0.0012
131,Normal,Ascending,10,0.0009
132,Normal,Ascending,10,0.0016
133,Normal,Ascending,10,0.0023
134,Normal,Ascending,10,0.0015
135,Normal,Ascending,10,0.0013
136,Normal,Ascending,10,0.001
137,Normal,Ascending,10,0.0008
138,Normal,Ascending,10,0.0011
139,Normal,Ascending,10,0.001
140,Normal,Ascending,10,0.0011
141,Normal,Ascending,10,0.0011
142,Normal,Ascending,10,0.0011
143,Normal,Ascending,10,0.001
144,Normal,Ascending,10,0.001
145,Normal,Ascending,10,0.0009
146,Normal,Ascending,10,0.0007
